지역(서울/특정구),기관명,지원정책명,"지원혜택(내용, 별도대상안내)",나이제한(최소) 만,나이제한(최대) 만,개인/부부합산 연소득(이하) 만,총자산액(이하) 만,기준중위소득(%),기초수급자조건(Y=1/N=공란),중소기업조건(Y=1/N=공란),신혼부부조건(Y=1/N=공란),무주택조건(Y=1/N=공란),*특이사항*,중위소득값,,,,,,,,,,,
서울,주택도시기금,버팀목 전세 대출,"수도권 1.2억원, 수도권 외 0.8억원 이내 연 2.5%~3.5%",19,34,5000,34500,,,,,1,,"2,564,238",,,,,,,,,,,
서울,주택도시기금,청년전용 보증부월세대출,"(보증금) 최대 4,500만원 이내
 (월세금) 최대 1,200만원(24개월 기준: 월 50만원 이내)
 (보증금) 연 1.3%
 (월세금) 연0% (20만원 한도), 1.0% (20만원 초과)",,,5000,34500,,,,,1,,,,,,,,,,,,,
서울,주택도시기금,청년전용 버팀목전세자금,"최대 1.5억원 이내(임차보증금의 80% 이내)
 연 2.2%~3.3%",,,5000,34500,,,,,1,,,,,,,,,,,,,
서울,주택도시기금,신생아 특례 버팀목대출,"대출접수일 기준 2년 내 출산(’23.1.1. 이후 출생아부터 적용)한 무주택 세대주
 최대 2.4억원 이내(임차보증금의 80% 이내)
 연 1.3%~4.3%",,,13000,34500,,,,1,1,,,,,,,,,,,,,
중랑구,청년몽땅정보통,서울청년 부동산 중개보수 및 이사비 지원,"중랑구에 거주하거나 전입한 청년들을 위해 서울시와 중랑구가 함께 제공하는 실비 지원 사업입니다.
 실제 이사에 소요된 부동산 중개보수 및 이사비를 최대 40만 원 한도 내 실비 지원합니다.",19,39,,,150,,,,,,,,,,,,,,,,,
중구,복지로,저소득주민 부동산 통합 복지 지원 사업,"중개수수료 최대 60만원
 이사비 최대 80만원",,,,,,1,,,,,,,,,,,,,,,,
서울,청년주거과,서울시 청년월세지원,"월 최대 20만원, 최대 12개월(생애 1회)",19,39,,,150,,,1,1,,,,,,,,,,,,,
서울,청년주거과,청년 임차보증금 이자지원사업,"임차보증금 대출 최대 2억원(보증금 90% 이내), 서울시 연 2.0% 이자지원",19,39,5000,,,1,,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
서울,SH,청년안심주택,청년·신혼부부 대상 역세권 등 임대주택 공급,19,39,,,,,,,1,,,,,,,,,,,,,
